ISIN,DESCRIPTION,Par Value,PRICE,MARKET_VALUE,WEIGHT,ISSUE_DT,MATURITY,BICS_LEVEL_1_SECTOR_NAME,AMT_ISSUED,AMT_OUTSTANDING,CRNCY,CNTRY_OF_RISK,DEBT_EBITDA,CUR_EV_COMPONENT,EV_TO_T12M_EBITDA,EBITDA_TO_INTEREST_EXPN,BB_1YR_DEFAULT_PROB,RSK_BB_IMPLIED_CDS_SPREAD,GUARANTOR,INVESTMENT_GRADE,DUR_MID,CNVX_MID,YAS_YLD_SPREAD,YAS_OAS_SPRD,Z_SPRD_MID
US36164QNA21,GE 4.418 11/15/35,11406510,82.323,9427977,0.185845634,7/1/2016,11/15/2035,Financials,11406510000,11406510000,USD,US,4.193735676,71671,#N/A N/A,-1.326189611,0.010987355,185,1,1,11.48011118,1.633037488,294.5602,311.0781456,309.6319234
US03522AAF75,ABIBB 4.9 02/01/46,9542514,95.079,9243075,0.182200819,11/13/2018,2/1/2046,Consumer Staples,9542514000,9542514000,USD,BE,4.845808516,116075,14.32056293,4.967083913,0.000151505,90,1,1,14.72505505,3.033038471,207.1131,220.9102016,221.4321032
US126650CX62,CVS 4.3 03/25/28,9000000,97.864,8890534,0.17525148,3/9/2018,3/25/2028,Health Care,9000000000,9000000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,7.659565541,0.67110723,166.7436,162.9785891,164.5156153
US03522AAD28,ABIBB 3.65 02/01/26,8555163,94.695,8214941,0.161934094,11/13/2018,2/1/2026,Consumer Staples,8555163000,8555163000,USD,BE,4.845808516,116075,14.32056293,4.967083913,0.000151505,90,1,1,6.230380051,0.436188969,164.995,157.382648,158.6176031
US126650CZ11,CVS 5.05 03/25/48,8000000,98.793,7989852,0.157497108,3/9/2018,3/25/2048,Health Care,8000000000,8000000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,15.3501374,3.334759527,197.3188,211.4252908,212.0799208
US035242AJ52,ABIBB 2.65 02/01/21,7500000,98.136,7432523,0.146510958,1/25/2016,2/1/2021,Consumer Staples,7500000000,7500000000,USD,BE,4.845808516,116075,14.32056293,4.967083913,0.000151505,90,1,1,2.065238976,0.052083166,73.5622,59.61795326,60.29527152
US38141GFD16,GS 6 ? 10/01/37,5545000,115.316,6468090,0.127499917,10/3/2007,10/1/2037,Financials,5545000000,5545000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,11.36056416,1.702526321,226.7025,242.4393881,241.7915427
US126650CV07,CVS 3.7 03/09/23,6000000,98.618,5974430,0.11776882,3/9/2018,3/9/2023,Health Care,6000000000,6000000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,3.919927314,0.17422082,129.7554,118.2297672,119.3421952
US035242AL09,ABIBB 3.3 02/01/23,6000000,97.159,5901590,0.116332988,1/25/2016,2/1/2023,Consumer Staples,6000000000,6000000000,USD,BE,4.845808516,116075,14.32056293,4.967083913,0.000151505,90,1,1,3.843874392,0.167553575,128.8856,116.8309036,117.9460176
US06051GHC69,BAC 3.004 12/20/23,5991837,96.223,5851523,0.11534606,5/22/2018,12/20/2023,Financials,5991837000,5991837000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000156814,58,0,1,3.752534474,0.159973198,127.0687,109.656781,116.3580854
US36164QMS48,GE 2.342 11/15/20,6093748,95.286,5817193,0.114669342,7/2/2016,11/15/2020,Financials,6093748000,6093748000,USD,US,4.193735676,71671,#N/A N/A,-1.326189611,0.010987355,185,1,1,1.883980952,0.04316608,215.9944,200.8404125,202.8538785
US06051GHD43,BAC 3.419 12/20/28,5989208,92.977,5666421,0.111697303,5/22/2018,12/20/2028,Financials,5989208000,5989208000,USD,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.000156814,58,0,1,7.64376423,0.661669032,150.3992,144.8697524,148.5077344
US037833AK68,AAPL 2.4 05/03/23,5500000,95.742,5280110,0.104082285,5/3/2013,5/3/2023,Technology,5500000000,5500000000,USD,US,-1.503304113,-122617,11.62300632,25.24722222,1.4094E-05,64,0,1,4.172582586,0.193845418,72.4029,61.96180869,62.02851434
US03522AAE01,ABIBB 4.7 02/01/36,5385495,95.885,5255989,0.103606808,11/13/2018,2/1/2036,Consumer Staples,5385495000,5385495000,USD,BE,4.845808516,116075,14.32056293,4.967083913,0.000151505,90,1,1,11.62081456,1.694491939,191.0942,205.8390137,205.8231451
US126650CW89,CVS 4.1 03/25/25,5000000,98.555,4971597,0.098000832,3/9/2018,3/25/2025,Health Care,5000000000,5000000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,5.546059989,0.346021376,152.7377,145.9129546,147.8024458
US126650CY46,CVS 4.78 03/25/38,5000000,97.158,4909020,0.096767306,3/9/2018,3/25/2038,Health Care,5000000000,5000000000,USD,US,1.674488425,21198,12.14098887,11.29566855,0.000289063,107,0,1,12.57042628,2.01534388,186.1071,199.5361389,200.4058751
US38141GGS75,GS 5 ? 01/24/22,4500000,104.917,4820453,0.09502146,1/24/2012,1/24/2022,Financials,4500000000,4500000000,USD,US,2.290809947,78644,5.701179838,2.206561242,0.00158664,141,0,1,2.839736151,0.096110691,130.1754,117.8781226,118.2239251
